CBSAFP,GDP pc,Diversity,Log_GDPpc
34140,28906.17259,64,4.460990591
34180,59655.85699,67,4.775653089
34220,27179.91687,45,4.434248124
34260,28353.04551,58,4.452599715
34300,45356.63534,51,4.65664083
34340,30096.63446,59,4.478517934
34380,30225.23054,50,4.480369622
34420,61576.24403,37,4.789413195
34460,23380.11078,44,4.368846565
34500,44659.71859,47,4.649915982
34540,31528.76807,47,4.498707002
34580,57082.4593,87,4.756502676
34620,30697.4917,74,4.487102891
34660,31286.66151,35,4.495359224
34700,57384.6118,46,4.758795448
34740,32918.43292,74,4.517439152
34780,42081.3438,66,4.6240896
34820,33933.09953,64,4.530623531
34860,38334.64567,63,4.583591453
34900,68843.66165,46,4.837863961
34940,45034.56466,57,4.653545969
34980,60459.929,78,4.781467633
35020,27471.8953,70,4.438888623
35060,31221.29383,52,4.494450897
35100,38380.74421,74,4.584113392
35140,31856.39013,45,4.503196561
35220,21978.65519,48,4.342001116
35260,32724.1328,74,4.514868146
35300,52683.14147,74,4.721671664
35380,55784.14404,84,4.746510774
35420,37079.57711,74,4.569134772
35440,33517.66796,55,4.525273794
35460,19532.47453,43,4.290757267
35500,28954.1147,58,4.46171029
35580,56293.14028,48,4.750455476
35620,75705.16021,96,4.879125483
35660,44871.55797,70,4.651971149
35700,34126.60519,57,4.533093088
35740,56282.97647,71,4.750377057
35820,70093.16281,64,4.845675657
35840,37611.51327,82,4.575320807
35860,23077.63167,41,4.363191238
35900,32630.71471,44,4.513626586
35940,33978.35097,58,4.531202298
35980,60723.11541,53,4.783354045
36020,33990.72422,69,4.531360418
36100,25116.29564,79,4.399955586
36140,50437.36744,69,4.702752411
36220,65840.10574,51,4.81849052
36260,36334.23973,92,4.560316077
36300,39733.69496,54,4.599158953
36340,33692.45718,73,4.527532685
36380,28640.22371,61,4.456976406
36420,57385.99631,84,4.758805926
36460,35444.73755,62,4.549551765
36500,40694.97164,71,4.60954075
36540,59749.47099,72,4.776334064
36580,38394.09662,59,4.584264453
36620,37393.63139,55,4.572797643
36660,26195.86338,67,4.418232717
36700,28425.82644,57,4.4537131
36740,47422.10771,63,4.675980853
36780,54860.45498,53,4.739259405
36820,34769.00336,57,4.541192242
36830,42738.90529,32,4.630823394
36840,32437.17216,46,4.511042986
36860,45507.42609,72,4.658082272
36900,39097.18543,46,4.592145494
36940,55450.43768,50,4.743904978
36980,45566.23447,65,4.658643141
37020,22542.31728,59,4.352998558
37060,33989.81609,51,4.531348815
37080,43640.30382,49,4.639887765
37100,54554.28428,103,4.736828862
37120,52622.78681,43,4.721173844
37140,52121.9771,70,4.717020881
37220,35055.29507,45,4.544753627
37260,27247.24486,57,4.435322595
37300,29795.57253,47,4.474151735
37340,37058.85379,68,4.568891983
37420,45182.49461,47,4.654970205
37460,39614.33997,74,4.597852424
37500,28292.80397,45,4.451675991
37540,33652.84202,62,4.527021747
37580,45324.18525,55,4.656330006
37620,35508.77346,66,4.550335671
37660,37464.44915,44,4.573619351
37740,29921.57303,51,4.475984421
37780,372107.7419,36,5.570668706
37860,36462.91676,63,4.561851406
37900,53194.02393,58,4.725862844
37940,24539.73978,60,4.389869953
37980,63981.56194,78,4.806054838
38060,45776.2691,90,4.660640394
38100,16356.05153,46,4.21367847
38180,57404.67332,68,4.75894725
38220,35697.29759,66,4.55263534
38240,32698.00331,53,4.514521233
38260,34179.62233,59,4.53376726
38300,56816.70627,81,4.754476054
38340,51501.51751,70,4.711820026
38380,34363.77782,48,4.536100902
38420,38434.34402,70,4.584719473
38460,43680.71683,79,4.640289757
38500,33199.78983,58,4.521135334
38540,29782.3435,57,4.473958868
38580,48994.17516,47,4.690144451
38620,35662.95035,62,4.552217269
38700,47710.94616,60,4.678618029
38740,32699.1169,54,4.514536024
38780,32800.03131,49,4.515874258
38820,28545.43987,66,4.45553674
38840,45975.17949,50,4.662523433
38860,51538.352,82,4.712130527
38900,56288.74145,99,4.750421538
38920,107717.0336,48,5.032284385
38940,32204.30849,82,4.507913978
39020,34694.73257,49,4.540263544
39060,31752.78761,71,4.501781858
39140,27684.76791,80,4.442240887
39220,51787.85198,52,4.714227898
39260,31042.94039,58,4.491962851
39300,47145.17868,89,4.673437286
39340,36422.5013,67,4.561369767
39380,33092.08348,67,4.519724111
39420,40573.76513,41,4.608245311
39460,25442.45307,57,4.405558982
39500,46552.99617,64,4.667947638
39540,39391.06277,78,4.595397698
39580,57733.74134,77,4.761429702
39660,39648.83494,80,4.59823043
39700,20143.86868,36,4.304142882
39740,44581.824,88,4.649157833
39780,26282.26823,50,4.419662843
39820,38811.49212,76,4.58896034
39860,57999.82701,61,4.763426698
39900,53454.995,77,4.727988293
39940,25356.57053,43,4.404090515
39980,36586.43946,62,4.563320147
40060,59971.91238,85,4.777947898
40080,28038.04491,49,4.447747727
40100,21682.38693,34,4.33610709
40140,33022.01903,92,4.518803623
40180,42901.36646,71,4.632471125
40220,46715.85578,83,4.669464309
40260,24711.94874,54,4.392906994
40300,51495.44691,51,4.711768832
40340,54974.23288,39,4.740159178
40380,51113.23142,70,4.708533338
40420,41346.2691,79,4.616436327
40460,40514.18928,48,4.607607153
40540,86188.5196,49,4.935449421
40580,52050.1897,62,4.716422317
40620,32071.7636,61,4.506122842
40660,40109.00445,63,4.603241882
40700,29246.7019,58,4.466076899
40740,30538.09147,65,4.484841892
40780,37357.29669,57,4.572375442
40820,41700.79966,67,4.620144383
40860,40975.63615,69,4.612525705
40900,50082.05038,86,4.699682101
40940,20898.67667,51,4.320118787
40980,38372.29282,67,4.58401775
41060,48357.72704,76,4.68446588
41100,30974.01857,73,4.490997554
41140,41405.94208,61,4.61706267
41180,53912.36497,83,4.731688383
41220,33815.55834,47,4.529116563
41400,27772.92497,72,4.443621621
41420,35341.23494,79,4.548281721
41460,44879.12539,58,4.652044385
41500,57248.50497,70,4.75776415
41540,48798.32589,76,4.688404923
41620,65772.8578,88,4.818046712
41660,56959.40226,77,4.755565423
41700,44827.82596,80,4.651547677
41740,59646.62791,88,4.775585896
41760,29978.45508,63,4.476809248
41780,64878.07317,60,4.812097943
41820,43488.40796,52,4.638373509
41860,95241.6397,99,4.978826864
41940,132828.145,51,5.123290108
42020,53904.968,80,4.731628793
42100,45894.83234,86,4.661763788
42140,41524.34781,73,4.61830282
42200,56679.87805,86,4.753428907
42220,51239.56254,85,4.709605413
42300,26280.37854,57,4.419631616
42340,47967.15458,67,4.680943957
42380,64802.79201,59,4.811593718
42420,50825.15553,64,4.706078716
42460,26560.6439,49,4.424238599
42540,44600.91354,82,4.649343754
42620,27324.71086,62,4.436555575
42660,82583.51731,86,4.916893376
42680,38490.19375,71,4.585350097
42700,22705.72616,62,4.356135396
42740,38645.59777,45,4.587100029
42780,31903.28003,50,4.503835336
42820,27634.11046,52,4.441445489
42860,47813.70576,47,4.679552405
42900,38196.34269,52,4.582021781
42940,36647.08683,47,4.564039457
42980,47602.85058,40,4.67763296
43020,30908.44296,59,4.490077128
43060,27324.43686,57,4.43655122
43100,56554.2797,57,4.752465475
43140,35065.51109,64,4.544880173
43180,33069.39352,35,4.51942623
43220,22492.47177,52,4.352037184
43260,42515.16968,70,4.628543917
43300,35132.12635,64,4.545704436
43320,24075.23326,58,4.381570504
43340,47587.84967,79,4.677496081
43380,58988.96637,43,4.770770786
43420,34061.48469,68,4.532263574
43460,38597.79273,58,4.58656247
43500,41294.18054,41,4.615888852
43580,51734.95907,66,4.71378411
43620,71250.23833,68,4.852786321
43660,142220.1298,50,5.152961071
43700,29835.26639,56,4.47472992
43740,31148.12392,72,4.493431894
43760,41552.06685,56,4.618592631
43780,40992.25498,65,4.612701809
43900,40491.45668,79,4.607363401
43940,38386.42719,60,4.584177692
43980,54540.76437,63,4.73672122
44020,51657.25124,59,4.713131293
44060,41131.54715,94,4.614175046
44100,48996.07631,60,4.690161302
44140,43003.54733,68,4.633504282
44180,37826.35871,79,4.577794537
44220,30663.67716,62,4.486624234
44260,31500.4636,45,4.498316945
44300,48702.50852,71,4.687551331
44340,27529.14546,64,4.439792731
44460,67076.40377,38,4.82656977
44500,30820.61631,61,4.488841319
44540,54182.50323,62,4.733859066
44580,34767.93204,67,4.54117886
44620,52489.47973,56,4.720072268
44660,35307.11391,75,4.547862219
44700,35265.05128,93,4.54734452
44740,65954.69081,30,4.819245689
44780,30792.11995,52,4.48843959
44860,36564.27841,58,4.563057007
44900,22071.27621,31,4.343827446
44920,67957.32669,51,4.832236286
44940,33343.23168,67,4.52300769
44980,28942.406,73,4.461534631
45000,38783.8841,52,4.5886513
45020,63550.12598,47,4.803116416
45060,54896.24766,86,4.73954266
45140,21656.27814,42,4.335583821
45180,32853.71404,54,4.516584473
45220,39628.94159,74,4.598012473
45300,44302.2614,83,4.646425895
45340,26278.90661,52,4.419607292
45380,43455.39257,49,4.638043678
45460,39878.9942,82,4.600744196
45500,33473.46882,65,4.52470072
45520,49282.85061,63,4.69269582
45540,22275.5769,61,4.34782896
45580,23279.35068,41,4.366970863
45620,41923.18812,55,4.622454302
45660,32534.41288,63,4.512342974
45700,40350.82097,55,4.605852375
45740,31697.78037,53,4.501028852
45780,51392.93915,74,4.710903456
45820,44279.62973,64,4.646203981
45860,40686.13574,80,4.609446444
45900,41701.15237,87,4.620148056
45940,79626.28116,62,4.901056433
45980,38494.96124,48,4.585403887
46020,39158.09741,68,4.592821582
46060,36595.15398,66,4.563423579
46100,35304.83413,58,4.547834175
46140,51345.12559,87,4.71049922
46180,41267.58035,54,4.615609006
46220,41794.92723,52,4.621123573
46300,40668.15491,69,4.609254469
46340,44498.1859,69,4.648342306
46380,35360.8264,70,4.548522406
46460,32577.36783,55,4.512915991
46500,25793.75645,39,4.411514595
46520,58502.92132,70,4.767177553
46540,38805.96709,69,4.588898511
46620,41122.29525,53,4.614077347
46660,32919.73272,66,4.5174563
46700,46986.32968,79,4.671971522
46740,23184.25108,44,4.365193071
46780,42932.78979,46,4.63278911
46820,34906.08011,45,4.542901081
46860,52161.41309,60,4.717349348
46900,54416.19483,43,4.73572817
46980,43293.78893,50,4.636425596
47020,43330.9819,72,4.63679853
47080,28202.61782,56,4.450289422
47180,47793.13298,56,4.679365501
47220,38213.66901,71,4.582218738
47240,80353.68033,64,4.905005773
47260,49791.98389,80,4.69715943
47300,35078.65514,67,4.545042935
47340,35269.85334,56,4.547403654
47380,41502.78646,67,4.618077256
47420,49885.18077,49,4.69797155
47460,53772.884,52,4.73056333
47540,45632.91969,40,4.659278257
47580,36714.73531,62,4.564840402
47620,42991.13364,48,4.633378897
47660,30816.12747,47,4.488778062
47700,57281.34681,52,4.758013221
47780,34147.36364,61,4.533357179
47820,46280.97116,61,4.665402464
47900,80936.50786,69,4.908144462
47920,82056.14219,45,4.914111095
47940,49209.54166,64,4.69204932
47980,47150.94945,64,4.673490442
48020,37825.7036,62,4.577787015
48060,52692.59357,74,4.721749575
48100,38967.60688,44,4.590703735
48140,54833.19273,73,4.739043534
48180,29673.01199,64,4.472361632
48220,48175.50643,64,4.682826289
48260,43247.54914,62,4.635961501
48300,47814.25193,73,4.679557365
48460,27055.91687,58,4.432262256
48540,64571.42558,69,4.810040375
48580,37757.82133,74,4.577006927
48620,51198.46885,72,4.709256973
48660,37442.02773,79,4.573359361
48700,50503.36645,88,4.703320328
48780,135963.3378,45,5.133421818
48820,51843.87889,64,4.714697487
48900,44343.9565,72,4.64683444
48940,45010.94864,39,4.653318166
48980,46846.10938,57,4.670673528
49020,17349.68721,66,4.239291649
49080,72116.3911,40,4.858033985
49100,43016.283,56,4.633632881
49180,45314.74163,68,4.656239508
