Source,Target,Type,Weight
3255,3151,Directed,0.211737
3255,3271,Directed,0.224597
3255,3315,Directed,0.356072
3255,3328,Directed,0.389408
3255,3331,Directed,0.207355
3255,3333,Directed,0.266418
3255,3335,Directed,0.23571
3255,3336,Directed,0.232833
3255,3341,Directed,0.396586
3255,3352,Directed,0.373105
3255,3353,Directed,0.255834
3255,4247,Directed,0.230872
3255,4249,Directed,0.351916
3255,4512,Directed,0.274619
3255,4855,Directed,0.210802
3255,5612,Directed,0.252531
3255,5616,Directed,0.211737
3256,2211,Directed,0.302645
3256,3112,Directed,0.51216
3256,3114,Directed,0.487944
3256,3115,Directed,0.39886
3256,3117,Directed,0.358596
3256,3119,Directed,0.256009
3256,3121,Directed,0.256888
3256,3131,Directed,0.209463
3256,3132,Directed,0.249361
3256,3161,Directed,0.321911
3256,3162,Directed,0.471636
3256,3221,Directed,0.240497
3256,3241,Directed,0.318157
3256,3251,Directed,0.245892
3256,3253,Directed,0.25522
3256,3254,Directed,0.611163
3256,3259,Directed,0.296466
3256,3273,Directed,0.379743
3256,3274,Directed,0.283963
3256,3314,Directed,0.230952
3256,3315,Directed,0.432979
3256,3333,Directed,0.415018
3256,3352,Directed,0.319678
3256,3364,Directed,0.349642
3256,3365,Directed,0.561866
3256,3391,Directed,0.231315
3256,4235,Directed,0.244537
3256,4236,Directed,0.240497
3256,4245,Directed,0.273921
3256,4247,Directed,0.228598
3256,4248,Directed,0.228598
3256,4249,Directed,0.224703
3256,4531,Directed,0.557918
3256,5616,Directed,0.302217
3259,3122,Directed,0.21036
3259,3131,Directed,0.480356
3259,3132,Directed,0.205859
3259,3241,Directed,0.248148
3259,3262,Directed,0.257784
3259,3328,Directed,0.244574
3259,3333,Directed,0.505073
3259,3361,Directed,0.300536
3259,4235,Directed,0.2144
3259,4247,Directed,0.265407
3259,6112,Directed,0.26606
3261,3115,Directed,0.260289
3261,3254,Directed,0.22395
3262,3115,Directed,0.23684
3262,3221,Directed,0.250413
3262,3254,Directed,0.273052
3262,3313,Directed,0.210687
3262,3328,Directed,0.234801
3262,3365,Directed,0.248578
3271,2121,Directed,0.296132
3271,3112,Directed,0.206674
3271,3114,Directed,0.2714
3271,3122,Directed,0.35683
3271,3132,Directed,0.227391
3271,3141,Directed,0.263798
3271,3162,Directed,0.293778
3271,3211,Directed,0.227391
3271,3221,Directed,0.305677
3271,3231,Directed,0.278491
3271,3241,Directed,0.359856
3271,3251,Directed,0.25992
3271,3254,Directed,0.44226
3271,3255,Directed,0.27047
3271,3259,Directed,0.314468
3271,3262,Directed,0.212923
3271,3272,Directed,0.229185
3271,3273,Directed,0.240804
3271,3279,Directed,0.246481
3271,3314,Directed,0.233984
3271,3315,Directed,0.447007
3271,3328,Directed,0.214953
3271,3333,Directed,0.206606
3271,3339,Directed,0.228239
3271,3342,Directed,0.434953
3271,3344,Directed,0.640262
3271,3346,Directed,0.274371
3271,3352,Directed,0.436011
3271,3353,Directed,0.612471
3271,3359,Directed,0.443679
3271,3363,Directed,0.202567
3271,3364,Directed,0.238731
3271,3365,Directed,0.271658
3271,3369,Directed,0.228287
3271,3391,Directed,0.213961
3271,4235,Directed,0.230536
3271,4247,Directed,0.432081
3271,4842,Directed,0.253289
3271,5621,Directed,0.247083
3271,6112,Directed,0.428324
3272,3115,Directed,0.310122
3272,3122,Directed,0.260903
3272,3221,Directed,0.209751
3272,3251,Directed,0.215146
3272,3254,Directed,0.200206
3272,3328,Directed,0.281754
3272,3352,Directed,0.340085
3272,4512,Directed,0.279387
