Source,Target,Type,Id,Label,timeset,Weight
483,313,Directed,2369,,,0.683958
485,315,Directed,2460,,,0.418811
486,316,Directed,2490,,,0.613751
711,541,Directed,3789,,,0.690059
481,312,Directed,2323,,,0.336564
485,316,Directed,2430,,,1.134003
483,315,Directed,2370,,,0.655929
493,325,Directed,2757,,,0.833851
483,316,Directed,2371,,,0.569261
481,315,Directed,2324,,,0.657116
487,321,Directed,2568,,,0.294028
481,316,Directed,2325,,,0.329037
487,322,Directed,2569,,,0.242058
492,327,Directed,2736,,,0.223589
488,325,Directed,2615,,,1.008052
483,321,Directed,2400,,,0.200803
493,331,Directed,2760,,,0.450626
483,322,Directed,2401,,,0.239262
485,324,Directed,2462,,,0.285181
486,325,Directed,2507,,,0.262812
488,327,Directed,2617,,,0.876764
492,331,Directed,2737,,,0.30125
493,332,Directed,2762,,,0.201389
485,325,Directed,2444,,,1.872929
487,327,Directed,2521,,,0.732704
492,332,Directed,2738,,,0.266685
493,333,Directed,2763,,,0.211417
611,451,Directed,3580,,,1.276265
486,327,Directed,2491,,,0.873323
483,325,Directed,2402,,,0.477452
485,327,Directed,2431,,,0.653369
492,334,Directed,2739,,,0.490188
493,335,Directed,2764,,,0.393092
611,453,Directed,3581,,,0.327541
488,331,Directed,2689,,,0.379131
492,335,Directed,2741,,,0.541822
611,454,Directed,3582,,,0.419059
481,325,Directed,2326,,,0.624553
487,331,Directed,2571,,,0.207131
488,332,Directed,2690,,,0.258652
486,331,Directed,2492,,,0.202448
487,332,Directed,2572,,,0.693315
488,333,Directed,2708,,,0.234815
481,327,Directed,2328,,,0.630877
485,331,Directed,2432,,,0.660078
487,333,Directed,2523,,,0.709718
488,334,Directed,2709,,,0.217363
487,334,Directed,2577,,,0.781097
488,335,Directed,2605,,,1.999652
483,331,Directed,2404,,,0.255652
485,333,Directed,2470,,,0.549577
487,335,Directed,2524,,,1.101825
488,336,Directed,2606,,,3.270565
713,561,Directed,3835,,,0.947373
483,332,Directed,2372,,,1.256368
485,334,Directed,2446,,,0.494269
481,331,Directed,2330,,,0.461503
483,333,Directed,2375,,,0.438483
485,335,Directed,2447,,,1.149062
486,336,Directed,2493,,,0.295202
711,561,Directed,3705,,,2.327462
481,332,Directed,2331,,,1.27065
483,334,Directed,2376,,,0.568944
485,336,Directed,2433,,,1.386297
481,333,Directed,2336,,,0.561824
483,335,Directed,2377,,,0.415604
481,334,Directed,2338,,,0.956982
483,336,Directed,2379,,,1.142394
481,335,Directed,2341,,,1.207799
485,339,Directed,2477,,,0.233189
481,336,Directed,2344,,,1.013294
481,337,Directed,2348,,,0.204378
454,312,Directed,2313,,,0.267802
454,316,Directed,2301,,,0.237768
561,423,Directed,3447,,,1.945626
562,424,Directed,3570,,,0.454249
453,316,Directed,2291,,,0.205195
561,424,Directed,3448,,,1.677062
624,487,Directed,3681,,,0.269837
451,316,Directed,2268,,,0.250902
445,311,Directed,2265,,,0.236678
442,312,Directed,2242,,,0.370913
445,315,Directed,2266,,,0.202183
454,325,Directed,2314,,,0.267802
453,325,Directed,2286,,,0.456818
339,212,Directed,1895,,,0.513405
454,327,Directed,2302,,,0.249667
551,424,Directed,3436,,,0.731335
442,316,Directed,2253,,,0.33283
336,212,Directed,1778,,,1.124698
335,212,Directed,1671,,,0.230952
334,212,Directed,1428,,,1.432054
333,212,Directed,1268,,,0.606191
332,212,Directed,1119,,,0.484866
454,334,Directed,2303,,,0.249667
331,212,Directed,1010,,,0.58282
561,442,Directed,3523,,,0.788929
611,492,Directed,3634,,,0.217786
541,423,Directed,3278,,,2.625224
442,325,Directed,2243,,,0.647422
541,424,Directed,3280,,,2.362386
327,212,Directed,885,,,1.209728
336,221,Directed,1705,,,0.307478
442,327,Directed,2246,,,0.472023
335,221,Directed,1611,,,0.230278
325,212,Directed,714,,,0.649005
334,221,Directed,1430,,,0.207595
424,311,Directed,2092,,,2.90931
324,212,Directed,694,,,0.228952
333,221,Directed,1324,,,0.252732
423,311,Directed,1934,,,3.637823
424,312,Directed,2096,,,0.804171
423,312,Directed,1937,,,1.053926
424,313,Directed,2122,,,2.22838
722,611,Directed,3885,,,0.220357
322,212,Directed,669,,,0.208337
423,313,Directed,1969,,,1.108497
425,315,Directed,2234,,,0.210857
561,451,Directed,3452,,,2.988238
423,314,Directed,1938,,,0.475938
424,315,Directed,2097,,,0.893508
425,316,Directed,2235,,,0.243356
533,424,Directed,3263,,,0.490032
423,315,Directed,2036,,,0.401089
424,316,Directed,2098,,,0.826071
561,453,Directed,3454,,,1.869087
423,316,Directed,1939,,,1.330233
531,424,Directed,3163,,,1.843099
316,212,Directed,549,,,1.02298
325,221,Directed,781,,,0.614962
315,212,Directed,471,,,0.729253
624,521,Directed,3682,,,0.231436
314,212,Directed,459,,,0.371694
424,322,Directed,2138,,,0.30525
525,423,Directed,3144,,,0.25102
423,322,Directed,1940,,,0.651279
524,423,Directed,3102,,,0.243601
525,424,Directed,3145,,,0.651944
622,521,Directed,3670,,,0.474685
812,711,Directed,3906,,,0.609671
312,212,Directed,321,,,0.230811
424,324,Directed,2157,,,0.724814
523,423,Directed,2980,,,2.072651
524,424,Directed,3103,,,0.948865
711,611,Directed,3706,,,0.460678
721,621,Directed,3871,,,0.381085
811,711,Directed,3895,,,0.30996
423,324,Directed,2015,,,0.304531
424,325,Directed,2139,,,4.218717
522,423,Directed,2917,,,0.414279
523,424,Directed,2981,,,3.143463
541,442,Directed,3333,,,0.535001
812,713,Directed,3907,,,0.683697
423,325,Directed,1941,,,1.269323
521,423,Directed,2894,,,0.712258
522,424,Directed,2949,,,0.841864
551,453,Directed,3438,,,0.24539
424,327,Directed,2099,,,1.671857
521,424,Directed,2896,,,1.236596
423,327,Directed,1942,,,1.870027
316,221,Directed,567,,,0.234507
425,331,Directed,2236,,,0.230253
517,423,Directed,2844,,,0.526221
424,331,Directed,2143,,,1.036575
541,448,Directed,3293,,,0.205699
423,331,Directed,1944,,,1.024816
424,332,Directed,2100,,,1.306109
515,423,Directed,2834,,,0.200625
624,532,Directed,3683,,,0.740233
423,332,Directed,1946,,,1.379237
424,333,Directed,2145,,,1.344495
425,334,Directed,2237,,,0.222463
423,333,Directed,1947,,,1.84032
424,334,Directed,2102,,,2.275789
541,451,Directed,3281,,,2.79987
611,521,Directed,3588,,,1.01116
711,621,Directed,3707,,,0.46547
423,334,Directed,1949,,,1.617277
424,335,Directed,2104,,,1.033929
512,423,Directed,2790,,,0.474562
713,624,Directed,3837,,,0.927782
423,335,Directed,1975,,,1.127727
424,336,Directed,2105,,,2.2621
512,424,Directed,2791,,,1.394061
541,453,Directed,3282,,,1.39761
611,523,Directed,3606,,,0.45729
325,238,Directed,782,,,0.281283
423,336,Directed,1952,,,2.977173
541,454,Directed,3284,,,0.872968
711,624,Directed,3729,,,0.385072
424,339,Directed,2218,,,0.475073
533,451,Directed,3265,,,0.254467
523,442,Directed,3034,,,1.267797
531,451,Directed,3188,,,0.497732
533,453,Directed,3266,,,0.201222
562,484,Directed,3564,,,0.54241
531,454,Directed,3215,,,0.206365
561,485,Directed,3527,,,0.435996
525,451,Directed,3147,,,0.346985
561,487,Directed,3471,,,0.783853
524,451,Directed,3105,,,0.729602
561,488,Directed,3455,,,0.962446
523,451,Directed,2984,,,0.205133
525,453,Directed,3148,,,0.242587
522,451,Directed,2918,,,0.547607
525,454,Directed,3149,,,0.215912
512,442,Directed,2794,,,0.210177
521,451,Directed,2899,,,0.445169
523,453,Directed,2985,,,1.820152
524,454,Directed,3106,,,0.206987
562,492,Directed,3566,,,0.202034
492,423,Directed,2746,,,0.204591
493,424,Directed,2765,,,0.302012
522,453,Directed,2920,,,0.725792
523,454,Directed,2986,,,1.059437
492,424,Directed,2743,,,0.269065
521,453,Directed,2900,,,0.596044
522,454,Directed,2923,,,0.414985
521,454,Directed,2901,,,0.743946
488,423,Directed,2607,,,1.366576
551,486,Directed,3439,,,0.433141
487,423,Directed,2526,,,0.797999
488,424,Directed,2608,,,3.978278
487,424,Directed,2527,,,1.5034
486,424,Directed,2494,,,0.980779
515,453,Directed,2835,,,0.204074
485,424,Directed,2434,,,1.794636
512,451,Directed,2795,,,0.72365
622,561,Directed,3671,,,0.691546
483,423,Directed,2381,,,0.797146
483,424,Directed,2382,,,2.124601
481,423,Directed,2349,,,0.220058
512,454,Directed,2826,,,0.272195
541,483,Directed,3392,,,0.233048
481,424,Directed,2350,,,1.142777
541,486,Directed,3295,,,0.627752
541,487,Directed,3338,,,0.29045
541,488,Directed,3339,,,0.235541
531,481,Directed,3189,,,0.514841
611,561,Directed,3623,,,1.108157
531,483,Directed,3165,,,0.426561
533,486,Directed,3267,,,0.482463
488,442,Directed,2652,,,0.582537
487,442,Directed,2530,,,0.770398
532,487,Directed,3227,,,0.723477
523,481,Directed,3038,,,0.469756
481,441,Directed,2353,,,0.301288
523,483,Directed,2987,,,0.209879
561,521,Directed,3493,,,0.62703
523,484,Directed,3039,,,0.210788
524,485,Directed,3107,,,0.211632
525,486,Directed,3150,,,0.528855
531,492,Directed,3190,,,0.201396
521,483,Directed,2903,,,0.353006
524,486,Directed,3108,,,0.446551
561,523,Directed,3456,,,0.20943
488,451,Directed,2609,,,0.212811
523,486,Directed,2988,,,1.167336
487,451,Directed,2546,,,0.881934
521,485,Directed,2904,,,0.394717
522,486,Directed,2924,,,0.45095
486,451,Directed,2496,,,0.212099
488,453,Directed,2627,,,1.101943
521,486,Directed,2905,,,0.356428
523,488,Directed,3042,,,0.370979
487,453,Directed,2531,,,1.399764
488,454,Directed,2628,,,0.516093
515,481,Directed,2836,,,0.204698
486,453,Directed,2497,,,0.802109
487,454,Directed,2532,,,0.555497
485,453,Directed,2435,,,0.205964
454,423,Directed,2304,,,1.117553
512,481,Directed,2827,,,0.208984
453,423,Directed,2288,,,0.492113
454,424,Directed,2315,,,0.307056
481,451,Directed,2354,,,0.389809
483,453,Directed,2385,,,0.954899
453,424,Directed,2292,,,0.205551
454,425,Directed,2308,,,0.215211
483,454,Directed,2386,,,0.2072
541,512,Directed,3340,,,0.208696
339,311,Directed,1897,,,0.596767
551,523,Directed,3441,,,0.256671
339,312,Directed,1899,,,0.223115
481,454,Directed,2355,,,0.204378
512,485,Directed,2796,,,0.287352
337,311,Directed,1875,,,0.447164
339,313,Directed,1900,,,1.112683
237,212,Directed,118,,,0.211535
336,311,Directed,1706,,,3.666954
337,312,Directed,1877,,,0.587897
339,314,Directed,1902,,,0.209264
335,311,Directed,1592,,,1.758403
336,312,Directed,1737,,,1.220703
337,313,Directed,1879,,,0.213933
339,315,Directed,1903,,,0.237838
512,488,Directed,2828,,,0.214798
334,311,Directed,1431,,,4.155426
335,312,Directed,1593,,,1.061252
336,313,Directed,1708,,,2.231867
339,316,Directed,1904,,,0.941633
333,311,Directed,1269,,,2.717631
334,312,Directed,1435,,,1.246628
335,313,Directed,1594,,,1.842361
336,314,Directed,1740,,,0.473238
332,311,Directed,1120,,,2.198821
333,312,Directed,1271,,,1.640338
334,313,Directed,1436,,,1.445187
335,314,Directed,1618,,,0.479413
336,315,Directed,1784,,,1.002318
337,316,Directed,1865,,,0.581545
331,311,Directed,1011,,,2.251081
332,312,Directed,1181,,,1.215422
333,313,Directed,1272,,,2.857559
334,314,Directed,1437,,,0.922848
336,316,Directed,1710,,,2.133144
512,492,Directed,2797,,,0.578441
541,521,Directed,3341,,,0.56824
561,541,Directed,3457,,,3.651747
331,312,Directed,1014,,,0.562355
332,313,Directed,1100,,,1.98135
334,315,Directed,1438,,,1.618288
335,316,Directed,1619,,,1.713074
442,423,Directed,2247,,,0.70231
541,522,Directed,3286,,,0.525563
331,313,Directed,1015,,,1.144727
332,314,Directed,1239,,,0.237393
